,oai,datestamp,language,speaker,doi,length,uri,requires,type
0,oai:crdo.vjf.cnrs.fr:cocoon-cf85a438-7a21-36d2-ac0b-d04d7c0789d0,2020-11-28,Na-našu (Acquaviva Collecroce),"Peca, Gilda",10.24397/PANGLOSS-0000698,64.0,https://cocoon.huma-num.fr/data/archi/masters/343907.wav,,
1,oai:crdo.vjf.cnrs.fr:cocoon-f031bcb4-ae4e-3d7a-8966-91ad43d6e825,2020-11-29,Na-našu,"Peca, Gilda",10.24397/PANGLOSS-0000699,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_POIVRONS.xml,oai:crdo.vjf.cnrs.fr:cocoon-cf85a438-7a21-36d2-ac0b-d04d7c0789d0,
2,oai:crdo.vjf.cnrs.fr:cocoon-a3325d12-e0ea-3ee1-b13f-ecb64b74802a,2020-11-28,Na-našu,"Peca, Gilda",10.24397/PANGLOSS-0000700,38.0,https://cocoon.huma-num.fr/data/archi/masters/343904.wav,,
3,oai:crdo.vjf.cnrs.fr:cocoon-b58f43c0-a0da-30e1-a08b-b3b11ddcebb1,2020-11-29,Na-našu,"Peca, Gilda",10.24397/PANGLOSS-0000701,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_PALATA.xml,oai:crdo.vjf.cnrs.fr:cocoon-a3325d12-e0ea-3ee1-b13f-ecb64b74802a,
4,oai:crdo.vjf.cnrs.fr:cocoon-1350595f-9d1f-3d42-96c4-7fdb83fdd289,2020-11-28,Na-našu,"Piccoli, Giovanni",10.24397/PANGLOSS-0000702,54.0,https://cocoon.huma-num.fr/data/archi/masters/343896.wav,,
5,oai:crdo.vjf.cnrs.fr:cocoon-2b7aa6fc-80fc-3815-b7ce-98e622cd0e73,2020-11-29,Na-našu,"Piccoli, Giovanni",10.24397/PANGLOSS-0000703,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_LIQUEUR.xml,oai:crdo.vjf.cnrs.fr:cocoon-1350595f-9d1f-3d42-96c4-7fdb83fdd289,
6,oai:crdo.vjf.cnrs.fr:cocoon-6e8c256d-60f8-39db-a3e0-94b791179b9d,2020-11-28,Na-našu,"Piccoli, Giovanni",10.24397/PANGLOSS-0000704,154.0,https://cocoon.huma-num.fr/data/archi/masters/343894.wav,,
7,oai:crdo.vjf.cnrs.fr:cocoon-d6b3ecd0-1343-326f-98d6-8aa46ac6c52b,2020-11-29,Na-našu,"Piccoli, Giovanni",10.24397/PANGLOSS-0000705,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_LIEVRE.xml,oai:crdo.vjf.cnrs.fr:cocoon-6e8c256d-60f8-39db-a3e0-94b791179b9d,
8,oai:crdo.vjf.cnrs.fr:cocoon-ac60b1fe-1837-3771-988b-60ebd16e4229,2020-11-28,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000706,105.0,https://cocoon.huma-num.fr/data/archi/masters/343920.wav,,
9,oai:crdo.vjf.cnrs.fr:cocoon-360e49a9-4208-3e15-9724-77c5c33e9809,2020-11-29,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000707,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_TRACTEUR.xml,oai:crdo.vjf.cnrs.fr:cocoon-ac60b1fe-1837-3771-988b-60ebd16e4229,
10,oai:crdo.vjf.cnrs.fr:cocoon-c2a2325d-65cd-39ef-9e94-c259e178149b,2020-11-28,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000708,84.0,https://cocoon.huma-num.fr/data/archi/masters/343892.wav,,
11,oai:crdo.vjf.cnrs.fr:cocoon-6298a292-a94f-342f-8b18-153b961bb662,2020-11-29,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000709,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_HUILE.xml,oai:crdo.vjf.cnrs.fr:cocoon-c2a2325d-65cd-39ef-9e94-c259e178149b,
12,oai:crdo.vjf.cnrs.fr:cocoon-a1adb34c-c1c2-3bc0-a0e3-b9df97c6f155,2020-11-28,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000710,125.0,https://cocoon.huma-num.fr/data/archi/masters/343923.wav,,
13,oai:crdo.vjf.cnrs.fr:cocoon-6beaee6a-42b8-3820-8180-0e9a626ec5de,2020-11-29,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000711,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_VOYAGE.xml,oai:crdo.vjf.cnrs.fr:cocoon-a1adb34c-c1c2-3bc0-a0e3-b9df97c6f155,
14,oai:crdo.vjf.cnrs.fr:cocoon-d33ef2ca-3cf0-3757-82ca-49223b6b49ae,2020-11-28,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000712,281.0,https://cocoon.huma-num.fr/data/archi/masters/343891.wav,,
15,oai:crdo.vjf.cnrs.fr:cocoon-00172dd0-bffd-3f0b-aeec-1fc46669a31a,2020-11-29,Na-našu,"Peca, Luigi",10.24397/PANGLOSS-0000713,,https://cocoon.huma-num.fr/data/breu/masters/crdo-SVM_GUERRE.xml,oai:crdo.vjf.cnrs.fr:cocoon-d33ef2ca-3cf0-3757-82ca-49223b6b49ae,
